gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
Male,Group b,Some high school,Standard,None,88,84,75
Male,Group c,Associate's degree,Free/reduced,None,73,68,66
Female,Group d,Bachelor's degree,Standard,Completed,68,75,81
Male,Group e,Associate's degree,Free/reduced,Completed,100,100,93
Male,Group a,Some high school,Standard,Completed,62,67,69
Male,Group a,Bachelor's degree,Standard,None,77,67,68
Female,Group b,Associate's degree,Standard,Completed,59,70,66
Male,Group d,Bachelor's degree,Standard,None,54,49,47
Male,Group d,Some high school,Standard,None,62,67,61
Female,Group c,Some college,Standard,Completed,70,89,88
Female,Group e,High school,Free/reduced,Completed,66,74,78
Male,Group b,Some college,Free/reduced,None,60,60,60
Female,Group b,Associate's degree,Standard,Completed,61,86,87
Male,Group d,Associate's degree,Free/reduced,None,66,62,64
Male,Group b,Associate's degree,Free/reduced,Completed,82,78,74
Female,Group e,Some college,Free/reduced,Completed,75,88,85
Male,Group b,Master's degree,Free/reduced,None,49,53,52
Male,Group c,High school,Standard,None,52,53,49
Female,Group e,Master's degree,Standard,None,81,92,91
Female,Group c,Bachelor's degree,Standard,Completed,96,100,100
Male,Group c,High school,Free/reduced,Completed,53,51,51
Female,Group b,Master's degree,Free/reduced,Completed,58,76,78
Female,Group b,High school,Standard,Completed,68,83,78
Female,Group c,Some college,Free/reduced,Completed,67,75,70
Male,Group a,High school,Standard,Completed,72,73,74
Male,Group e,Some high school,Standard,None,94,88,78
Female,Group d,Some college,Standard,None,79,86,81
Female,Group c,Associate's degree,Standard,None,63,67,70
Female,Group c,Bachelor's degree,Free/reduced,Completed,43,51,54
Female,Group c,Master's degree,Standard,Completed,81,91,87
Female,Group b,High school,Free/reduced,Completed,46,54,58
Female,Group c,Associate's degree,Standard,Completed,71,77,77
Female,Group b,Master's degree,Free/reduced,Completed,52,70,62
Female,Group d,Some high school,Standard,Completed,97,100,100
Male,Group c,Master's degree,Free/reduced,Completed,62,68,75
Female,Group c,Some college,Free/reduced,None,46,64,66
Female,Group e,High school,Standard,None,50,50,47
Female,Group d,Associate's degree,Standard,None,65,69,70
Male,Group c,Some high school,Free/reduced,Completed,45,52,49
Male,Group c,Associate's degree,Free/reduced,Completed,65,67,65
Male,Group e,High school,Standard,None,80,76,65
Male,Group d,Some high school,Standard,Completed,62,66,68
Male,Group b,Some high school,Free/reduced,None,48,52,45
Female,Group c,Bachelor's degree,Standard,None,77,88,87
Female,Group e,Associate's degree,Standard,None,66,65,69
Male,Group d,Some college,Standard,Completed,76,83,79
Female,Group b,Some high school,Standard,None,62,64,66
Male,Group d,Some college,Standard,Completed,77,62,62
Female,Group c,Master's degree,Standard,Completed,69,84,85
Male,Group d,Associate's degree,Standard,None,61,55,52
Male,Group c,Some high school,Free/reduced,Completed,59,69,65
Male,Group e,High school,Free/reduced,None,55,56,51
Female,Group b,Some college,Free/reduced,None,45,53,55
Female,Group b,Bachelor's degree,Free/reduced,None,78,79,76
Female,Group c,Associate's degree,Standard,Completed,67,84,86
Female,Group d,Some college,Free/reduced,None,65,81,77
Male,Group c,Associate's degree,Standard,None,69,77,69
Female,Group b,Associate's degree,Standard,None,57,69,68
Male,Group c,Some college,Standard,None,59,41,42
Male,Group d,Some high school,Standard,Completed,74,71,78
Male,Group e,Bachelor's degree,Standard,None,82,62,62
Male,Group e,High school,Standard,Completed,81,80,76
Female,Group b,Some college,Free/reduced,None,74,81,76
Female,Group b,Some college,Free/reduced,None,58,61,66
Male,Group d,Some high school,Free/reduced,Completed,80,79,79
Male,Group c,Some college,Free/reduced,None,35,28,27
Female,Group c,High school,Free/reduced,None,42,62,60
Male,Group c,Associate's degree,Free/reduced,Completed,60,51,56
Male,Group e,High school,Standard,Completed,87,91,81
Male,Group b,Some high school,Standard,Completed,84,83,75
Female,Group e,Associate's degree,Free/reduced,Completed,83,86,88
Female,Group c,High school,Free/reduced,None,34,42,39
Male,Group b,High school,Free/reduced,None,66,77,70
Male,Group b,Some high school,Standard,Completed,61,56,56
Female,Group d,High school,Standard,Completed,56,68,74
Male,Group b,Associate's degree,Standard,None,87,85,73
Female,Group c,Some high school,Free/reduced,None,55,65,62
Male,Group d,Some high school,Standard,None,86,80,75
Female,Group b,Associate's degree,Standard,Completed,52,66,73
Female,Group e,Master's degree,Free/reduced,None,45,56,54
Female,Group c,Some college,Standard,None,72,72,71
Male,Group d,High school,Standard,None,57,50,54
Male,Group a,Some high school,Free/reduced,None,68,72,64
Female,Group c,Some college,Standard,Completed,88,95,94
Male,Group d,Some college,Standard,None,76,64,66
Male,Group c,Associate's degree,Standard,None,46,43,42
Female,Group b,Bachelor's degree,Standard,None,67,86,83
Male,Group e,Some high school,Standard,None,92,87,78
Male,Group c,Bachelor's degree,Standard,Completed,83,82,84
Male,Group d,Associate's degree,Standard,None,80,75,77
Male,Group d,Bachelor's degree,Free/reduced,None,63,66,67
Female,Group d,Some high school,Standard,Completed,64,60,74
Male,Group b,Some college,Standard,None,54,52,51
Male,Group c,Associate's degree,Standard,None,84,80,80
Male,Group d,High school,Free/reduced,Completed,73,68,66
Female,Group e,Bachelor's degree,Standard,None,80,83,83
Female,Group d,High school,Standard,None,56,52,55
Male,Group e,Some college,Standard,None,59,51,43
Male,Group d,Some high school,Standard,None,75,74,69
Male,Group c,Associate's degree,Standard,None,85,76,71
Male,Group e,Associate's degree,Standard,None,89,76,74
Female,Group b,High school,Standard,Completed,58,70,68
Female,Group b,High school,Standard,None,65,64,62
Male,Group c,High school,Standard,None,68,60,53
Male,Group a,Some high school,Standard,Completed,47,49,49
Female,Group d,Some college,Free/reduced,None,71,83,83
Female,Group b,Some high school,Standard,Completed,60,70,70
Male,Group d,Master's degree,Standard,None,80,80,72
Male,Group d,High school,Standard,None,54,52,52
Female,Group e,Some college,Standard,None,62,73,70
Female,Group c,Associate's degree,Free/reduced,None,64,73,68
Male,Group c,Associate's degree,Standard,Completed,78,77,77
Female,Group b,Some college,Standard,None,70,75,78
Female,Group c,Master's degree,Free/reduced,Completed,65,81,81
Female,Group c,Some high school,Free/reduced,Completed,64,79,77
Male,Group c,Some college,Standard,Completed,79,79,78
Female,Group c,Some high school,Free/reduced,None,44,50,51
Female,Group e,High school,Standard,None,99,93,90
Male,Group d,High school,Standard,None,76,73,68
Male,Group d,Some high school,Free/reduced,None,59,42,41
Female,Group c,Bachelor's degree,Standard,None,63,75,81
Female,Group d,High school,Standard,None,69,72,77
Female,Group d,Associate's degree,Standard,Completed,88,92,95
Female,Group e,Some college,Free/reduced,None,71,76,70
Male,Group c,Bachelor's degree,Standard,None,69,63,61
Male,Group c,Some college,Standard,None,58,49,42
Female,Group d,Associate's degree,Free/reduced,None,47,53,58
Female,Group d,Some college,Standard,None,65,70,71
Male,Group b,Some college,Standard,Completed,88,85,76
Male,Group c,Bachelor's degree,Standard,None,83,78,73
Female,Group c,Some high school,Standard,Completed,85,92,93
Female,Group e,High school,Standard,Completed,59,63,75
Female,Group c,Some high school,Free/reduced,None,65,86,80
Male,Group b,Bachelor's degree,Free/reduced,None,73,56,57
Male,Group d,High school,Standard,None,53,52,42
Male,Group d,High school,Standard,None,45,48,46
Female,Group d,Bachelor's degree,Free/reduced,None,73,79,84
Female,Group d,Some college,Free/reduced,Completed,70,78,78
Female,Group b,Some high school,Standard,None,37,46,46
Male,Group b,Associate's degree,Standard,Completed,81,82,82
Male,Group e,Associate's degree,Standard,Completed,97,82,88
Female,Group b,Some high school,Standard,None,67,89,82
Male,Group b,Bachelor's degree,Free/reduced,None,88,75,76
Male,Group e,Some high school,Standard,Completed,77,76,77
Male,Group c,Associate's degree,Standard,None,76,70,68
Male,Group d,Some high school,Standard,None,86,73,70
Male,Group c,Some high school,Standard,Completed,63,60,57
Female,Group e,Bachelor's degree,Standard,None,65,73,75
Male,Group d,High school,Free/reduced,Completed,78,77,80
Male,Group b,Associate's degree,Free/reduced,None,67,62,60
Male,Group a,Some high school,Standard,Completed,46,41,43
Male,Group e,Associate's degree,Standard,Completed,71,74,68
Male,Group c,High school,Free/reduced,Completed,40,46,50
Male,Group d,Associate's degree,Free/reduced,None,90,87,75
Male,Group a,Some college,Free/reduced,Completed,81,78,81
Male,Group d,Some high school,Free/reduced,None,56,54,52
Female,Group c,Associate's degree,Standard,Completed,67,84,81
Male,Group b,Associate's degree,Standard,None,80,76,64
Female,Group c,Associate's degree,Standard,Completed,74,75,83
Male,Group a,Some college,Standard,None,69,67,69
Male,Group e,Some college,Standard,Completed,99,87,81
Male,Group c,Some high school,Standard,None,51,52,44
Female,Group b,Associate's degree,Free/reduced,None,53,71,67
Female,Group d,High school,Free/reduced,None,49,57,52
Female,Group b,Associate's degree,Standard,None,73,76,80
Male,Group b,Bachelor's degree,Standard,None,66,60,57
Male,Group d,Bachelor's degree,Standard,Completed,67,61,68
Female,Group c,Associate's degree,Free/reduced,Completed,68,67,69
Female,Group c,Bachelor's degree,Standard,Completed,59,64,75
Male,Group c,High school,Standard,None,71,66,65
Female,Group d,Master's degree,Standard,Completed,77,82,91
Male,Group c,Associate's degree,Standard,None,83,72,78
Male,Group b,Bachelor's degree,Standard,None,63,71,69
Female,Group d,Associate's degree,Free/reduced,None,56,65,63
Female,Group c,High school,Free/reduced,Completed,67,79,84
Female,Group e,High school,Standard,None,75,86,79
Female,Group c,Some college,Standard,None,71,81,80
Female,Group c,Some high school,Free/reduced,None,43,53,53
Female,Group c,High school,Free/reduced,None,41,46,43
Female,Group c,Some college,Standard,None,82,90,94
Male,Group c,Some college,Standard,None,61,61,62
Male,Group a,Some college,Free/reduced,None,28,23,19
Male,Group c,Associate's degree,Standard,Completed,82,75,77
Female,Group b,Some high school,Standard,None,41,55,51
Male,Group c,High school,Standard,None,71,60,61
Male,Group c,Associate's degree,Standard,None,47,37,35
Male,Group e,Associate's degree,Standard,Completed,62,56,53
Male,Group b,Associate's degree,Standard,None,90,78,81
Female,Group c,Bachelor's degree,Standard,None,83,93,95
Female,Group b,Some college,Free/reduced,None,61,68,66
Male,Group d,Some high school,Standard,Completed,76,70,69
Male,Group c,Associate's degree,Standard,None,49,51,43
Female,Group b,Some high school,Free/reduced,None,24,38,27
Female,Group d,Some high school,Free/reduced,Completed,35,55,60
Male,Group c,High school,Free/reduced,None,58,61,52
Female,Group c,High school,Standard,None,61,73,63
Female,Group b,High school,Standard,Completed,69,76,74
Male,Group d,Associate's degree,Standard,Completed,67,72,67
Male,Group d,Some college,Standard,None,79,73,67
Female,Group c,High school,Standard,None,72,80,75
Male,Group b,Some college,Standard,None,62,61,57
Female,Group c,Bachelor's degree,Standard,Completed,77,94,95
Male,Group d,High school,Free/reduced,None,75,74,66
Male,Group e,Associate's degree,Standard,None,87,74,76
Female,Group b,Bachelor's degree,Standard,None,52,65,69
Male,Group e,Some college,Standard,None,66,57,52
Female,Group c,Some college,Standard,Completed,63,78,80
Female,Group c,Associate's degree,Standard,None,46,58,57
Female,Group c,Some college,Standard,None,59,71,70
Female,Group b,Bachelor's degree,Standard,None,61,72,70
Male,Group a,Associate's degree,Standard,None,63,61,61
Female,Group c,Some college,Free/reduced,Completed,42,66,69
Male,Group d,Some college,Free/reduced,None,59,62,61
Female,Group d,Some college,Standard,None,80,90,89
Female,Group b,High school,Standard,None,58,62,59
Male,Group b,Some high school,Standard,Completed,85,84,78
Female,Group c,Some college,Standard,None,52,58,58
Female,Group d,Some high school,Free/reduced,None,27,34,32
Male,Group c,Some college,Standard,None,59,60,58
Male,Group a,Bachelor's degree,Free/reduced,Completed,49,58,60
Male,Group c,High school,Standard,Completed,69,58,53
Male,Group c,Bachelor's degree,Free/reduced,None,61,66,61
Female,Group a,Some high school,Free/reduced,None,44,64,58
Female,Group d,Some high school,Standard,None,73,84,85
Male,Group e,Some college,Standard,None,84,77,71
Female,Group c,Some college,Free/reduced,Completed,45,73,70
Male,Group d,Some high school,Standard,None,74,74,72
Female,Group d,Some college,Standard,Completed,82,97,96
Female,Group d,Bachelor's degree,Standard,None,59,70,73
Male,Group e,Associate's degree,Free/reduced,None,46,43,41
Female,Group d,Some high school,Standard,None,80,90,82
Female,Group d,Master's degree,Free/reduced,Completed,85,95,100
Female,Group a,Some high school,Standard,None,71,83,77
Male,Group a,Bachelor's degree,Standard,None,66,64,62
Female,Group b,Associate's degree,Standard,None,80,86,83
Male,Group c,Associate's degree,Standard,Completed,87,100,95
Male,Group c,Master's degree,Free/reduced,None,79,81,71
Female,Group e,Some high school,Free/reduced,None,38,49,45
Female,Group a,Some high school,Free/reduced,None,38,43,43
Female,Group e,Some college,Standard,None,67,76,75
Female,Group e,Bachelor's degree,Standard,None,64,73,70
Female,Group c,Associate's degree,Free/reduced,None,57,78,67
Female,Group d,High school,Standard,None,62,64,64
Male,Group d,Master's degree,Standard,None,73,70,75
Male,Group e,Some high school,Free/reduced,Completed,73,67,59
Female,Group d,Some college,Standard,None,77,68,77
Male,Group e,Some college,Standard,None,76,67,67
Male,Group c,Associate's degree,Standard,Completed,57,54,56
Female,Group c,Some high school,Standard,Completed,65,74,77
Male,Group a,High school,Free/reduced,None,48,45,41
Female,Group b,High school,Free/reduced,None,50,67,63
Female,Group c,Associate's degree,Standard,None,85,89,95
Male,Group b,Some high school,Standard,None,74,63,57
Male,Group d,Some high school,Standard,None,60,59,54
Female,Group c,Some high school,Standard,Completed,59,54,67
Male,Group a,Some college,Standard,None,53,43,43
Female,Group a,Some college,Free/reduced,None,49,65,55
Female,Group d,High school,Standard,Completed,88,99,100
Female,Group c,High school,Standard,None,54,59,62
Female,Group c,Some high school,Standard,None,63,73,68
Male,Group b,Associate's degree,Standard,Completed,65,65,63
Female,Group b,Associate's degree,Standard,None,82,80,77
Female,Group d,High school,Free/reduced,Completed,52,57,56
Male,Group d,Associate's degree,Standard,Completed,87,84,85
Female,Group d,Master's degree,Standard,Completed,70,71,74
Male,Group e,Some college,Standard,Completed,84,83,78
Male,Group d,Associate's degree,Standard,None,71,66,60
Male,Group b,Some high school,Standard,Completed,63,67,67
Female,Group c,Bachelor's degree,Free/reduced,Completed,51,72,79
Male,Group e,High school,Standard,None,84,73,69
Male,Group c,Bachelor's degree,Standard,Completed,71,74,68
Male,Group c,Associate's degree,Standard,None,74,73,67
Male,Group d,Some college,Standard,None,68,59,62
Male,Group e,High school,Free/reduced,Completed,57,56,54
Female,Group c,Associate's degree,Free/reduced,Completed,82,93,93
Female,Group d,High school,Standard,Completed,57,58,64
Female,Group d,Master's degree,Free/reduced,Completed,47,58,67
Female,Group a,Some high school,Standard,Completed,59,85,80
Male,Group b,Some college,Free/reduced,None,41,39,34
Female,Group c,Some college,Free/reduced,None,62,67,62
Male,Group c,Bachelor's degree,Standard,None,86,83,86
Male,Group c,Some high school,Free/reduced,None,69,71,65
Male,Group a,Some high school,Free/reduced,None,65,59,53
Male,Group c,Some high school,Free/reduced,None,68,63,54
Male,Group c,Associate's degree,Free/reduced,None,64,66,59
Female,Group c,High school,Standard,None,61,72,70
Male,Group c,High school,Standard,None,61,56,55
Female,Group a,Some high school,Free/reduced,None,47,59,50
Male,Group c,Some high school,Standard,None,73,66,66
Male,Group c,Some college,Free/reduced,Completed,50,48,53
Male,Group d,Associate's degree,Standard,None,75,68,64
Male,Group d,Associate's degree,Free/reduced,None,75,66,73
Male,Group c,High school,Standard,None,70,56,51
Male,Group d,Some high school,Standard,Completed,89,88,82
Female,Group c,Some college,Standard,Completed,67,81,79
Female,Group d,High school,Standard,None,78,81,80
Female,Group a,Some high school,Free/reduced,None,59,73,69
Female,Group b,Associate's degree,Standard,None,73,83,76
Male,Group a,Some high school,Free/reduced,None,79,82,73
Female,Group c,Some high school,Standard,Completed,67,74,77
Male,Group d,Some college,Free/reduced,None,69,66,60
Male,Group c,High school,Standard,Completed,86,81,80
Male,Group b,High school,Standard,None,47,46,42
Male,Group b,Associate's degree,Standard,None,81,73,72
Female,Group c,Some college,Free/reduced,Completed,64,85,85
Female,Group e,Some college,Standard,None,100,92,97
Female,Group c,Associate's degree,Free/reduced,None,65,77,74
Male,Group c,Some college,Free/reduced,None,65,58,49
Female,Group c,Associate's degree,Free/reduced,None,53,61,62
Male,Group c,Bachelor's degree,Free/reduced,None,37,56,47
Female,Group d,Bachelor's degree,Standard,None,79,89,89
Male,Group d,Associate's degree,Free/reduced,None,53,54,48
Female,Group e,Bachelor's degree,Standard,None,100,100,100
Male,Group b,High school,Standard,Completed,72,65,68
Male,Group c,Bachelor's degree,Free/reduced,None,53,58,55
Male,Group b,Some college,Free/reduced,None,54,54,45
Female,Group e,Some college,Standard,None,71,70,76
Female,Group c,Some college,Free/reduced,None,77,90,91
Male,Group a,Bachelor's degree,Standard,Completed,75,58,62
Female,Group c,Some college,Standard,None,84,87,91
Female,Group d,Associate's degree,Free/reduced,None,26,31,38
Male,Group a,High school,Free/reduced,Completed,72,67,65
Female,Group a,High school,Free/reduced,Completed,77,88,85
Male,Group c,Some college,Standard,None,91,74,76
Female,Group c,Associate's degree,Standard,Completed,83,85,90
Female,Group c,High school,Standard,None,63,69,74
Female,Group c,Associate's degree,Standard,Completed,68,86,84
Female,Group d,Some high school,Standard,None,59,67,61
Female,Group b,Associate's degree,Standard,Completed,90,90,91
Female,Group d,Bachelor's degree,Standard,Completed,71,76,83
Male,Group e,Bachelor's degree,Standard,Completed,76,62,66
Male,Group d,Associate's degree,Standard,None,80,68,72
Female,Group d,Master's degree,Standard,None,55,64,70
Male,Group e,Associate's degree,Standard,None,76,71,67
Male,Group b,High school,Standard,Completed,73,71,68
Female,Group d,Associate's degree,Free/reduced,None,52,59,56
Male,Group c,Some college,Free/reduced,None,68,68,61
Male,Group a,High school,Standard,None,59,52,46
Female,Group b,Associate's degree,Standard,None,49,52,54
Male,Group c,High school,Standard,None,70,74,71
Male,Group d,Some college,Free/reduced,None,61,47,56
Female,Group c,Associate's degree,Free/reduced,None,60,75,74
Male,Group b,Some high school,Standard,Completed,64,53,57
Male,Group a,Associate's degree,Free/reduced,Completed,79,82,82
Female,Group a,Associate's degree,Free/reduced,None,65,85,76
Female,Group c,Associate's degree,Standard,None,64,64,70
Female,Group c,Some college,Standard,None,83,83,90
Female,Group c,Bachelor's degree,Standard,None,81,88,90
Female,Group b,High school,Standard,None,54,64,68
Male,Group d,High school,Standard,Completed,68,64,66
Female,Group c,Some college,Standard,None,54,48,52
Female,Group d,Some college,Free/reduced,Completed,59,78,76
Female,Group b,Some high school,Standard,None,66,69,68
Male,Group e,Some college,Standard,None,76,71,72
Female,Group d,Master's degree,Standard,None,74,79,82
Female,Group b,Associate's degree,Standard,Completed,94,87,92
Male,Group c,Some college,Free/reduced,None,63,61,54
Female,Group e,Associate's degree,Standard,Completed,95,89,92
Female,Group d,Master's degree,Free/reduced,None,40,59,54
Female,Group b,Some high school,Standard,None,82,82,80
Male,Group a,High school,Standard,None,68,70,66
Male,Group b,Bachelor's degree,Free/reduced,None,55,59,54
Male,Group c,Master's degree,Standard,None,79,78,77
Female,Group c,Bachelor's degree,Standard,None,86,92,87
Male,Group d,Some college,Standard,None,76,71,73
Male,Group a,Some high school,Standard,None,64,50,43
Male,Group d,Some high school,Free/reduced,None,62,49,52
Female,Group b,Some high school,Standard,Completed,54,61,62
Female,Group b,Master's degree,Free/reduced,Completed,77,97,94
Female,Group c,Some high school,Standard,Completed,76,87,85
Female,Group d,Some college,Standard,None,74,89,84
Female,Group e,Some college,Standard,Completed,66,74,73
Female,Group d,Some high school,Standard,Completed,66,78,78
Female,Group b,High school,Free/reduced,Completed,67,78,79
Male,Group d,Some college,Standard,None,71,49,52
Female,Group c,Associate's degree,Standard,None,91,86,84
Male,Group d,Bachelor's degree,Standard,None,69,58,57
Male,Group c,Master's degree,Free/reduced,None,54,59,50
Male,Group c,High school,Standard,Completed,53,52,49
Male,Group e,Some college,Standard,None,68,60,59
Male,Group c,Some high school,Free/reduced,Completed,56,61,60
Female,Group c,High school,Free/reduced,None,36,53,43
Female,Group d,Bachelor's degree,Free/reduced,None,29,41,47
Female,Group c,Associate's degree,Standard,None,62,74,70
Female,Group c,Associate's degree,Standard,Completed,68,67,73
Female,Group c,Some high school,Standard,None,47,54,53
